0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
,,2.965,9.609,3.028,2.38,,,,4.61,,0.971,,,,9.378,,0.955,2.338,,,,,1.386,5.279,5.888,0.838,,1.942,,1.775,,,2.164,2.631,73.248,,1.262,,4.176,8.857,,,4.321,,3.788,7.075,,,1.732,,1.106,,,,3.929,32.323,6.002,,1.203,5.609,2.788,6.755,,,,,4.998,1.329,,0.612,2.985,2.318,5.448,3.652,16.641,8.135,11.302,,,
2.957,0.319,1.954,,,3.039,2.511,,,6.188,,,1.142,2.708,,1.898,,3.795,,1.897,,,2.93,4.751,,7.229,2.605,,6.485,3.504,,,2.426,,,2.758,,,9.4,,,4.205,4.468,2.241,2.456,,,1.386,2.867,,1.191,,,3.168,0.477,0.613,2.58,,1.709,,1.133,11.817,,1.894,28.025,,4.671,3.113,,,4.583,,,,,5.13,2.091,,4.37,1.675,
,0.999,,,5.368,,,1.663,2.672,,9.513,3.323,5.976,3.66,,,2.07,,,2.138,2.316,2.627,4.162,,,2.503,,0.843,,11.913,,,3.609,10.589,,5.765,5.075,,,,6.645,,,6.31,2.837,1.912,,3.182,13.692,2.728,6.57,0.565,,,7.108,2.895,,,,2.823,6.636,4.293,0.371,1.193,1.974,,3.283,4.831,,,,,1.529,,,0.397,,20.356,,,2.066
,,,6.327,0.48,,,,2.822,0.624,2.652,12.57,3.223,,,,,,5.017,,1.11,,,,,2.212,2.454,2.194,3.075,5.071,,,,2.325,3.735,,2.147,,,3.067,3.49,,,,3.54,,2.632,,2.298,5.873,,2.351,13.65,1.191,2.594,,1.445,,,1.173,0.627,4.506,3.867,3.892,3.711,2.797,3.001,,5.313,2.341,,,,,,,3.506,3.857,3.467,4.102,7.162
,1.677,4.61,,,,,1.746,15.002,,3.125,,,5.045,9.278,5.654,1.634,,,,3.279,12.117,5.65,0.658,3.681,,,5.43,,3.246,,4.327,2.27,,,,1.261,3.472,,4.641,,,,1.379,6.566,,,3.2,9.465,,,4.124,3.614,0.922,,2.918,7.232,,,,3.593,,2.604,5.953,,1.873,4.68,1.003,1.69,,,3.836,3.223,,,3.119,,,2.872,7.586,1.303
9.604999999999999,,,,4.387,8.636,2.358,6.602,,2.726,,,2.205,0.417,3.9,3.542,,,1.022,6.737,5.487,,,,1.522,,3.059,,0.514,2.805,,,8.15,7.314,3.115,,,1.585,,,,34.422,2.062,0.434,12.842,,,3.228,1.956,2.606,,,,,,6.42,1.414,0.531,,4.776,,,2.357,,4.229,,5.543,,2.328,1.669,,2.009,2.57,3.874,3.142,,1.205,,,17.455,
,,,0.509,,2.272,,10.432,,,,,9.511,,3.451,2.284,5.636,0.536,2.372,1.813,6.83,,1.963,16.87,,,,,,,2.663,2.471,,1.648,,6.831,,3.483,3.478,,,7.893,,3.407,0.472,5.284,2.083,13.314,12.23,0.34,,,,,2.028,2.601,,,,,3.848,,2.362,,,,2.517,0.425,2.62,3.171,1.407,2.211,2.589,3.07,1.954,,,18.38,2.772,3.403,
,2.225,,2.115,,4.068,,3.036,6.693,,1.469,3.504,3.854,,5.81,1.588,,2.472,,,2.262,1.988,,,,,2.033,15.69,,,11.131,,,2.917,0.722,,,,1.574,,3.391,3.595,2.4,2.592,,4.694,10.229,2.051,,,8.075,,3.01,,3.061,2.266,,,2.056,,2.356,,1.406,,,,,13.72,3.368,,18.951,3.963,7.215,1.759,6.218,5.001,2.172,,,,2.044
,,,,1.294,,,6.583,7.302,,,,0.933,,5.859,1.285,7.254,2.973,,1.986,0.387,6.65,,,,2.768,4.783,,,,2.531,1.689,1.348,6.406,0.349,,3.36,2.895,4.112,,,,2.155,6.725,,7.818,,1.852,6.289,,3.694,,,,,0.873,,3.945,2.133,2.902,1.984,,0.589,17.036,,7.03,,,3.77,,,1.687,2.681,2.937,5.468,,1.909,,3.92,,6.658
,,,,,0.804,1.325,1.886,5.051,,,1.26,4.474,,0.967,,17.579,2.005,0.783,8.794,,6.437,,,,3.037,,10.735,7.022,,,8.388,4.335,,,,,7.426,6.39,14.919,10.956,,,,,,0.651,,,,0.694,1.364,20.978,1.738,2.326,,,8.555,,,2.032,5.306,1.015,2.816,,16.544999999999998,2.619,15.69,3.689,0.564,20.268,,2.659,3.394,,1.589,0.846,,4.067,,
,,,2.797,1.365,,,,1.962,,19.074,1.729,,,,9.578,,,,,3.257,3.874,,,3.736,0.378,,,,,23.881,3.758,3.375,3.169,14.199000000000002,2.606,3.784,3.049,3.536,,3.155,2.697,,2.589,,4.864,,2.58,,5.212,3.608,,,1.477,2.338,0.997,,,,2.739,2.304,5.841,13.819,,1.135,,6.298,1.167,3.136,,,,1.987,,6.333,5.276,,,2.033,2.612,0.537
4.443,1.187,,,,1.308,,,7.911,5.743,,,,,2.895,,4.501,3.055,,2.595,,2.58,2.412,7.596,,10.44,18.471,,,3.047,2.28,,,0.815,,16.735,8.676,,,3.093,,1.672,2.638,,4.901,2.955,,5.915,3.548,6.028,,4.866,,,,,2.912,,2.786,,3.271,1.958,,,2.739,2.961,4.808,3.42,,,1.635,,5.926,1.203,,,2.406,0.48,,1.636,2.792
1.522,,2.322,2.623,0.798,,,3.61,,1.579,,,,,,2.21,1.581,2.77,,,,13.47,2.731,13.719,3.744,,2.473,4.397,0.575,2.875,,,1.633,,1.629,,3.042,,,2.893,,6.655,,,2.027,,8.378,,12.33,,33.431,0.644,1.499,,,5.145,1.27,,,,2.227,3.581,7.944,2.547,6.792,7.086,,10.444,,,1.059,,,,9.468,6.947,3.556,0.323,16.367,,
12.968,2.147,,11.102,5.313,,,,,,1.467,9.879999999999999,,1.291,,,9.869,7.403,1.006,,,3.412,,6.417,6.358,1.627,1.719,2.773,,2.437,,1.519,1.477,,,7.51,3.501,,,4.733,28.824,7.824,6.163,,,,,11.914,,,12.757,3.468,2.083,2.88,,,4.679,4.373,,1.697,1.542,1.715,,,2.269,2.367,,,,0.51,,2.562,,3.428,,4.826,,3.063,,,14.762
,1.681,,,1.636,,2.575,3.877,3.737,,6.181,,8.366,2.745,,0.637,,2.505,,0.638,7.429,,,1.103,,,4.904,1.682,2.501,1.999,,,3.683,,,,3.64,3.968,,4.24,,,1.407,,,,3.658,,1.53,,4.156,3.026,,0.841,,,3.535,,2.399,1.309,2.719,5.305,,5.372,,1.674,,,3.234,5.837,1.399,10.706,3.031,,2.265,5.383,2.377,,,4.345,
3.206,,,1.521,,2.995,,0.77,,3.779,0.505,,7.618,,6.795,8.857,3.172,2.396,2.167,,2.981,,5.219,,,4.315,5.175,,2.124,,4.702,1.319,,4.999,,,,15.19,3.289,,1.379,1.633,,,6.021,,4.302,,,,4.962,6.736,1.497,,1.231,,16.491,7.796,,,0.641,,16.525,0.678,1.431,,,,,7.223,,0.595,,,12.987,6.909,2.387,1.757,,11.867,
,,6.664,,9.193,4.322,6.679,6.687,,,,1.914,,1.87,0.431,1.099,,,10.506,,3.841,,,,9.262,2.063,,,1.717,,2.023,4.563,,,,2.019,,1.689,,3.644,,2.579,1.423,1.888,,,3.439,2.62,2.712,6.997,,,,2.986,1.852,1.005,,1.528,,2.635,3.309,2.514,1.52,2.569,,1.435,2.913,2.453,,,,,,3.78,1.17,,,10.904,2.253,6.276,
1.776,,1.578,,5.211,,1.976,6.464,0.423,5.735,,,1.934,,,3.799,,2.171,,1.183,3.104,7.228,,0.507,,,,,,3.346,,,,4.399,1.859,2.961,6.37,1.294,1.9,,6.505,,,11.052,,,,,11.269,0.885,3.773,,3.246,5.133,,,4.343,,6.503,14.867,5.729,3.545,,1.524,1.35,,0.911,,11.405,,,1.257,6.893,7.536,,,1.141,21.678,,1.579,
,,4.14,1.307,5.591,,,,3.198,,4.595,4.503,,2.221,,3.054,,,2.568,,,,1.99,,,2.896,1.153,,2.174,4.44,,,1.815,,2.053,,,,,,6.283,2.121,3.308,2.143,1.795,,2.548,1.93,,2.28,2.838,4.764,,5.701,6.838,1.589,2.335,4.716,,1.679,,,,,,,1.64,,9.238,3.013,2.186,2.476,3.973,4.31,,2.036,,5.168,2.221,1.916,
,0.976,4.983,,,,1.315,,2.271,,12.069,,5.317,,0.558,,,3.568,,3.892,,3.453,3.536,6.618,,9.145,,,,,2.572,1.923,,,2.161,2.363,2.254,3.773,2.986,,,2.28,,14.264,,7.173,7.761,,,2.746,,3.295,,1.807,7.585,,2.365,7.392,,2.351,2.739,3.028,,2.295,,,6.9719999999999995,5.028,1.43,,,2.182,1.231,4.367,11.852,,,,4.291,0.355,
,,4.165,5.309,,1.034,2.285,2.775,,2.167,,2.77,3.384,,,,,,3.299,,4.71,,3.433,,,,16.694,,3.602,,,4.483,,4.198,5.04,,,1.551,2.069,,,6.764,1.796,,,1.988,,,5.937,11.888,3.278,,3.188,1.73,5.734,1.73,,,,1.841,2.859,,6.185,,2.362,,2.768,2.204,1.456,2.942,,0.467,5.965,1.109,1.486,3.319,19.037,,,4.721,
,52.911,,3.682,,,,2.068,,7.397,,,4.011,,4.367,,14.089,,2.391,,7.019,1.218,9.987,,2.982,,,,2.33,3.557,,2.526,2.483,,6.323,4.38,,1.924,3.637,4.171,,,,4.578,0.515,,10.878,8.474,,,,,0.692,3.803,,17.692,,,,2.584,9.618,30.664,2.166,8.576,,3.195,1.905,4.187,2.132,5.497,,,0.592,,,,2.852,7.765,4.882,,3.574
2.224,,3.583,,,,,3.97,2.202,,,,2.377,0.396,,4.682,1.235,,1.74,,2.645,4.681,2.501,3.356,,,1.437,,,,,13.32,1.522,3.166,,2.82,0.612,4.494,,,,7.243,7.6129999999999995,0.348,2.848,,,4.675,1.979,3.691,7.219,3.054,,,4.699,,,1.029,6.584,,5.645,3.505,,2.121,2.584,2.443,23.528,,2.271,,,,,,1.39,,12.665,,2.501,,1.368
,3.426,,,5.428,,2.914,0.435,,,1.489,,,,1.938,,10.674,5.113,6.737,0.35,17.193,,2.3,3.291,,,,1.758,1.219,,3.91,,5.233,,,2.164,,,7.038,6.939,,,2.48,,1.274,7.858,,,9.188,2.526,0.376,,,3.169,,,,3.387,9.765,0.543,3.952,7.515,,,2.301,2.772,2.837,,,3.842,5.827,,1.785,,4.348,1.459,1.331,,,0.441,29.399
,8.213,,0.568,2.883,,1.277,,12.197,2.758,,,4.99,4.525,,1.989,,,1.619,0.9450000000000001,3.39,,,,11.41,,,,8.196,2.479,,11.892,1.153,,,10.958,,,12.57,2.228,,8.516,,3.176,1.04,,,,6.501,,0.486,,1.978,1.521,1.183,4.856,2.329,5.005,3.757,,,0.63,,5.474,,,1.209,,,7.799,0.349,,0.699,,2.643,,1.809,5.557,3.351,9.63,
5.578,0.331,,,2.471,1.574,,,,,,,,0.568,1.463,6.427,6.811,2.361,8.238,6.355,,,,,1.395,2.596,2.987,,,4.012,,,2.361,2.963,2.599,25.224,21.158,4.327,2.677,8.461,,2.616,,,,8.098,,0.743,9.501,0.391,,2.548,,,,,,0.553,,1.742,5.986,,16.305,1.914,,,23.028,,,4.237,1.749,,,1.542,3.511,3.268,1.127,1.481,,,2.959
,,2.008,,,,3.589,2.266,,,41.049,0.634,,5.658,1.95,,,,2.255,,,3.086,5.316,5.233,,2.387,1.254,1.268,,,2.086,,,2.199,0.411,,,6.882,,2.791,,1.568,,,1.605,2.554,3.275,3.871,,,5.076,,,9.176,1.502,3.891,8.426,3.426,0.586,2.305,2.167,,,,2.238,,2.692,7.821,2.118,2.819,,,,,1.677,,1.9,,4.184,5.119,4.848
1.805,,,,,,1.256,,4.345,3.074,1.751,,4.235,,12.307,,,,,,2.46,3.049,16.19,,2.909,,,2.991,6.333,2.666,6.44,10.39,,,,,,2.239,3.174,,,2.048,5.955,2.461,0.42,1.83,5.118,,5.6850000000000005,1.403,,,9.197000000000001,,,1.57,,,7.411,9.289,,,1.602,0.81,,1.379,,2.51,0.85,,4.567,1.691,3.943,,1.8,3.411,,5.714,10.371,2.646,
2.779,,1.178,,5.03,,8.913,,,,7.987,,2.478,0.384,9.574,,,,,,3.833,4.928,,,6.158,9.119,4.04,,,,,4.442,1.32,0.514,3.9730000000000003,3.659,2.513,11.399,0.55,2.246,,2.579,,,,4.132,6.96,2.687,,,,,2.302,2.058,,3.165,,21.512,2.548,4.515,2.196,,1.194,,5.917,,,2.056,1.852,,3.71,,2.447,,0.801,,,,4.069,11.139,2.1
3.872,,,1.692,,2.574,,8.348,1.82,3.028,8.638,,3.028,,3.994,,2.666,,,0.626,,3.034,,10.033,,,2.634,,,1.179,,3.693,10.314,2.829,,0.963,4.202,,3.312,,2.553,,,1.631,,4.941,1.62,,,1.303,3.065,2.368,,,,,,0.426,2.236,4.421,0.888,,9.815,,,,4.597,6.445,,2.5389999999999997,3.927,4.179,1.497,19.418,0.634,,,6.008,,7.557,
,3.315,1.568,4.532,,,6.828,,1.265,,4.072,,1.505,7.069,,0.819,3.149,,,0.485,1.714,2.881,,3.958,,5.291,,5.936,,5.411,,,,1.29,5.476,3.237,,4.675,1.379,,1.756,,,,,,3.876,,,17.685,6.834,2.492,,6.904,1.999,,,2.37,2.058,2.198,,2.086,,6.101,4.662,2.33,,3.149,,1.566,,,4.703,,,1.782,,17.255,,2.407,5.699
1.974,,,,,5.209,,6.213,2.069,9.642,0.443,,,,,,1.47,3.389,,2.564,3.621,1.713,3.064,,,4.067,2.895,,,9.6,1.725,13.649,,2.25,,,2.2,2.423,,6.521,,,4.457,2.667,,1.427,,1.709,,2.692,,1.071,,4.166,4.683,,1.14,,,3.364,1.943,,,,5.016,,,,4.136,0.617,10.065,4.401,,3.729,14.64,12.501,3.776,1.914,,9.006,
,0.688,28.169,1.742,,,,,,,7.756,11.778,,,2.042,,9.734,,,,,3.736,2.915,,1.855,6.37,2.552,,3.332,,,5.187,2.297,,2.082,0.482,4.924,2.435,4.327,,,,3.584,9.917,,3.198,,,7.914,6.353,4.772,,,,1.018,6.661,,5.581,,,11.519,,3.309,,,,2.938,1.78,14.863,11.426,0.626,3.021,2.988,14.357,3.281,,,9.233,,2.959,2.899
2.238,,2.082,,,,,3.544,1.964,,,5.273,4.136,2.241,2.941,,4.25,,1.436,2.358,,,,2.106,,,6.344,2.133,,,2.848,,,4.52,,2.185,2.063,4.773,,5.451,4.843,,1.967,,0.492,,2.072,2.055,1.819,4.935,10.815,,,,,0.871,3.105,,4.225,,,2.426,,2.496,,16.108,3.633,,5.283,1.912,,3.252,2.921,,,,2.73,,7.7010000000000005,2.621,0.488
2.753,2.957,1.372,,,,,,,,,,2.166,4.648,0.711,1.251,,14.339,,,,,4.382,3.219,1.921,,,,0.515,3.38,,1.327,,,4.447,0.372,3.245,3.296,,3.739,7.222,15.817,0.738,,,,13.447,,,1.121,2.801,,10.941,3.229,,,3.005,9.715,2.427,,7.706,,,4.166,2.709,1.333,,,1.956,,1.656,,1.187,,6.124,10.161,,2.618,2.223,1.122,7.089
,2.622,2.665,2.335,,,2.308,,,,5.688,2.507,,,,1.323,,1.838,,,2.833,0.437,11.557,,,,7.675,2.309,,,,9.257,,,1.368,2.484,0.486,4.253,,4.131,6.306,2.34,,3.582,,11.703,,,,1.55,1.769,,1.599,0.471,4.8,,2.109,6.305,,3.59,6.742,2.909,,2.53,,4.669,,,1.828,,,2.477,1.642,3.147,,4.299,5.272,,5.768,0.428,
0.715,,3.424,7.356,,2.066,,,,,,,,2.781,,4.663,2.311,2.197,,5.612,0.406,2.044,,,2.574,,2.655,3.526,,,1.427,3.455,4.068,15.55,1.884,,4.135,4.096,,12.923,1.763,,,,,,1.756,1.779,,,8.422,1.953,6.122,,2.08,,2.388,,,,5.437,4.073,6.789,,,,4.005,,6.02,,8.185,4.076,2.2,8.208,3.691,5.271,10.27,0.412,,,
3.058,,6.567,,26.057,,,2.818,,,,,13.167,3.511,1.441,,3.97,,,,2.88,,,10.011,2.683,3.218,6.066,,3.739,,0.867,,,1.168,,8.118,2.901,7.763,,3.499,,,2.932,,7.616,5.918,4.939,0.493,4.457,1.956,,,,,5.182,,,5.233,,2.573,2.314,,3.018,,2.763,17.813000000000002,,7.674,,,2.503,0.345,,2.408,2.35,,6.155,1.765,,10.759,5.968
1.917,,,5.761,,2.981,4.35,1.457,,3.105,1.652,0.523,,,1.918,,,2.859,,,,7.14,1.167,2.318,4.611,3.528,,1.529,,,3.47,,,6.563,,1.461,,,,,5.082,2.458,,,2.065,,8.875,9.83,,2.393,0.39,,,13.347,4.28,,8.635,,,15.635,2.429,1.94,,,2.513,,2.27,3.142,,2.444,2.407,,,2.824,2.227,2.0,2.256,2.835,,,1.773
